For Emission Probabilities:
P( X(t) | E(t) )
P( t | c ) = 0.09833447410449464
P( u | c ) = 0.02943189596167009
P( v | c ) = 0.00022815423226100844
P( w | c ) = 0.00022815423226100844
P( x | c ) = 0.00022815423226100844
P( y | c ) = 0.005247547342003194
P( z | c ) = 0.00022815423226100844
P( a | d ) = 0.04157452454666077
P( b | d ) = 0.0004422821760283061
P( c | d ) = 0.0013268465280849183
P( d | d ) = 0.008403361344537815
P( e | d ) = 0.3334807607253428
P( f | d ) = 0.0008845643520566122
P( g | d ) = 0.0035382574082264487
P( h | d ) = 0.0008845643520566122
P( i | d ) = 0.18796992481203006
P( j | d ) = 0.0035382574082264487
P( k | d ) = 0.0004422821760283061
P( l | d ) = 0.008845643520566122
P( m | d ) = 0.0013268465280849183
P( n | d ) = 0.005307386112339673
P( o | d ) = 0.14285714285714285
P( p | d ) = 0.0008845643520566122
P( q | d ) = 0.0004422821760283061
P( r | d ) = 0.03715170278637771
P( s | d ) = 0.06457319770013269
P( t | d ) = 0.0004422821760283061
P( u | d ) = 0.10791685095090668
P( v | d ) = 0.026536930561698365
P( w | d ) = 0.0026536930561698365
P( x | d ) = 0.0004422821760283061
P( y | d ) = 0.017691287041132243
P( z | d ) = 0.0004422821760283061
P( a | e ) = 0.0530443210855582
P( b | e ) = 0.0015860428231562252
P( c | e ) = 0.06740681998413957
P( d | e ) = 0.08573442594061151
P( e | e ) = 0.04009163802978236
P( f | e ) = 0.026610274032954444
P( g | e ) = 0.008370781566657855
P( h | e ) = 0.005815490351572826
P( i | e ) = 0.02141157811260904
P( j | e ) = 8.811349017534584e-05
P( k | e ) = 0.00105736188210415
P( l | e ) = 0.04361617763679619
P( m | e ) = 0.05489470437924046
P( n | e ) = 0.1306723059300379
P( o | e ) = 0.022028372543836463
P( p | e ) = 0.013657590977178606
P( q | e ) = 0.005815490351572826
P( r | e ) = 0.1560489911005375
P( s | e ) = 0.13023173847916117
P( t | e ) = 0.04837430610626487
P( u | e ) = 0.0008811349017534585
P( v | e ) = 0.0359503039915411
P( w | e ) = 0.006520398272975593
P( x | e ) = 0.021147237642083004
P( y | e ) = 0.01885628689752401
P( z | e ) = 8.811349017534584e-05
P( a | f ) = 0.06856272219400711
P( b | f ) = 0.0005078720162519045
P( c | f ) = 0.0030472320975114273
P( d | f ) = 0.0005078720162519045
P( e | f ) = 0.1015744032503809
P( f | f ) = 0.09903504316912139
P( g | f ) = 0.001015744032503809
P( h | f ) = 0.0005078720162519045
P( i | f ) = 0.1361097003555104
P( j | f ) = 0.0005078720162519045
P( k | f ) = 0.0005078720162519045
P( l | f ) = 0.02031488065007618
P( m | f ) = 0.0005078720162519045
P( n | f ) = 0.0005078720162519045
P( o | f ) = 0.2849162011173184
P( p | f ) = 0.0005078720162519045
P( q | f ) = 0.0005078720162519045
P( r | f ) = 0.11376333164042661
P( s | f ) = 0.0025393600812595226
P( t | f ) = 0.0787201625190452
P( u | f ) = 0.06094464195022854
P( v | f ) = 0.0005078720162519045
P( w | f ) = 0.0005078720162519045
P( x | f ) = 0.0005078720162519045
P( y | f ) = 0.0228542407313357
P( z | f ) = 0.0005078720162519045
P( a | g ) = 0.10702875399361023
P( b | g ) = 0.0005324813631522897
P( c | g ) = 0.0005324813631522897
P( d | g ) = 0.0005324813631522897
P( e | g ) = 0.20234291799787008
P( f | g ) = 0.0005324813631522897
P( g | g ) = 0.0154419595314164
P( h | g ) = 0.10969116080937168
P( i | g ) = 0.13471778487752928
P( j | g ) = 0.0005324813631522897
P( k | g ) = 0.0005324813631522897
P( l | g ) = 0.01757188498402556
P( m | g ) = 0.004259850905218318
P( n | g ) = 0.021299254526091587
P( o | g ) = 0.1027689030883919
P( p | g ) = 0.0005324813631522897
P( q | g ) = 0.0005324813631522897
P( r | g ) = 0.12087326943556975
P( s | g ) = 0.03407880724174654
P( t | g ) = 0.002129925452609159
P( u | g ) = 0.0362087326943557
P( v | g ) = 0.0005324813631522897
P( w | g ) = 0.0005324813631522897
P( x | g ) = 0.0005324813631522897
P( y | g ) = 0.08519701810436635
P( z | g ) = 0.0005324813631522897
P( a | h ) = 0.21953781512605042
P( b | h ) = 0.0015756302521008404
P( c | h ) = 0.00017507002801120448
P( d | h ) = 0.00017507002801120448
P( e | h ) = 0.4646358543417367
P( f | h ) = 0.00017507002801120448
P( g | h ) = 0.00017507002801120448
P( h | h ) = 0.00035014005602240897
P( i | h ) = 0.10311624649859943
P( j | h ) = 0.00017507002801120448
P( k | h ) = 0.00017507002801120448
P( l | h ) = 0.002976190476190476
P( m | h ) = 0.0007002801120448179
P( n | h ) = 0.04394257703081232
P( o | h ) = 0.07983193277310924
P( p | h ) = 0.00017507002801120448
P( q | h ) = 0.00017507002801120448
P( r | h ) = 0.01750700280112045
P( s | h ) = 0.0035014005602240898
P( t | h ) = 0.013480392156862746
P( u | h ) = 0.03711484593837535
P( v | h ) = 0.00017507002801120448
P( w | h ) = 0.0005252100840336134
P( x | h ) = 0.00017507002801120448
P( y | h ) = 0.009278711484593838
P( z | h ) = 0.00017507002801120448
P( a | i ) = 0.03487460815047022
P( b | i ) = 0.007641065830721003
P( c | i ) = 0.077782131661442
P( d | i ) = 0.03036833855799373
P( e | i ) = 0.06573275862068965
P( f | i ) = 0.027037617554858933
P( g | i ) = 0.01567398119122257
P( h | i ) = 0.0002938871473354232
P( i | i ) = 9.796238244514106e-05
P( j | i ) = 9.796238244514106e-05
P( k | i ) = 0.004702194357366771
P( l | i ) = 0.0477076802507837
P( m | i ) = 0.031739811912225704
P( n | i ) = 0.2232562695924765
P( o | i ) = 0.08317006269592477
P( p | i ) = 0.005094043887147335
P( q | i ) = 0.003036833855799373
P( r | i ) = 0.0334051724137931
P( s | i ) = 0.1311716300940439
P( t | i ) = 0.1206896551724138
P( u | i ) = 0.00019592476489028212
P( v | i ) = 0.04496473354231975
P( w | i ) = 9.796238244514106e-05
P( x | i ) = 0.0002938871473354232
P( y | i ) = 9.796238244514106e-05
P( z | i ) = 0.010775862068965518
P( a | j ) = 0.048
P( b | j ) = 0.008
P( c | j ) = 0.008
P( d | j ) = 0.008
P( e | j ) = 0.136
P( f | j ) = 0.008
P( g | j ) = 0.008
P( h | j ) = 0.008
P( i | j ) = 0.008
P( j | j ) = 0.008
P( k | j ) = 0.008
P( l | j ) = 0.008
P( m | j ) = 0.008
P( n | j ) = 0.008
P( o | j ) = 0.304
P( p | j ) = 0.008
P( q | j ) = 0.008
P( r | j ) = 0.008
P( s | j ) = 0.008
P( t | j ) = 0.008
P( u | j ) = 0.336
P( v | j ) = 0.008
P( w | j ) = 0.008
P( x | j ) = 0.008
P( y | j ) = 0.008
P( z | j ) = 0.008
P( a | k ) = 0.007009345794392523
P( b | k ) = 0.002336448598130841
P( c | k ) = 0.002336448598130841
P( d | k ) = 0.04205607476635514
P( e | k ) = 0.4929906542056075
P( f | k ) = 0.002336448598130841
P( g | k ) = 0.002336448598130841
P( h | k ) = 0.002336448598130841
P( i | k ) = 0.2523364485981308
P( j | k ) = 0.002336448598130841
P( k | k ) = 0.002336448598130841
P( l | k ) = 0.014018691588785047
P( m | k ) = 0.002336448598130841
P( n | k ) = 0.06775700934579439
P( o | k ) = 0.009345794392523364
P( p | k ) = 0.002336448598130841
P( q | k ) = 0.002336448598130841
P( r | k ) = 0.002336448598130841
P( s | k ) = 0.06775700934579439
P( t | k ) = 0.002336448598130841
P( u | k ) = 0.004672897196261682
P( v | k ) = 0.002336448598130841
P( w | k ) = 0.002336448598130841
P( x | k ) = 0.002336448598130841
P( y | k ) = 0.004672897196261682
P( z | k ) = 0.002336448598130841
P( a | l ) = 0.06938514090520922
P( b | l ) = 0.0002134927412467976
P( c | l ) = 0.0012809564474807857
P( d | l ) = 0.0721605465414176
P( e | l ) = 0.21925704526046114
P( f | l ) = 0.016225448334756618
P( g | l ) = 0.0002134927412467976
P( h | l ) = 0.0002134927412467976
P( i | l ) = 0.11443210930828351
P( j | l ) = 0.0002134927412467976
P( k | l ) = 0.002775405636208369
P( l | l ) = 0.14368061485909478
P( m | l ) = 0.006831767719897523
P( n | l ) = 0.0004269854824935952
P( o | l ) = 0.11165670367207516
P( p | l ) = 0.002775405636208369
P( q | l ) = 0.0002134927412467976
P( r | l ) = 0.004269854824935952
P( s | l ) = 0.03309137489325363
P( t | l ) = 0.02220324508966695
P( u | l ) = 0.034158838599487616
P( v | l ) = 0.015798462852263023
P( w | l ) = 0.0025619128949615714
P( x | l ) = 0.0002134927412467976
P( y | l ) = 0.125533731853117
P( z | l ) = 0.0002134927412467976
P( a | m ) = 0.25995879120879123
P( b | m ) = 0.01304945054945055
P( c | m ) = 0.00034340659340659343
P( d | m ) = 0.00034340659340659343
P( e | m ) = 0.23282967032967034
P( f | m ) = 0.0006868131868131869
P( g | m ) = 0.00034340659340659343
P( h | m ) = 0.00034340659340659343
P( i | m ) = 0.08962912087912088
P( j | m ) = 0.00034340659340659343
P( k | m ) = 0.0006868131868131869
P( l | m ) = 0.0010302197802197802
P( m | m ) = 0.022664835164835164
P( n | m ) = 0.001717032967032967
P( o | m ) = 0.1713598901098901
P( p | m ) = 0.0989010989010989
P( q | m ) = 0.00034340659340659343
P( r | m ) = 0.00034340659340659343
P( s | m ) = 0.04945054945054945
P( t | m ) = 0.00034340659340659343
P( u | m ) = 0.04017857142857143
P( v | m ) = 0.0006868131868131869
P( w | m ) = 0.00034340659340659343
P( x | m ) = 0.00034340659340659343
P( y | m ) = 0.013392857142857142
P( z | m ) = 0.00034340659340659343
P( a | n ) = 0.0462478184991274
P( b | n ) = 0.00014543339150668993
P( c | n ) = 0.056719022687609075
P( d | n ) = 0.16564863292611984
P( e | n ) = 0.12085514834205933
P( f | n ) = 0.009307737056428156
P( g | n ) = 0.133216986620128
P( h | n ) = 0.0017452006980802793
P( i | n ) = 0.05017452006980803
P( j | n ) = 0.00029086678301337986
P( k | n ) = 0.005090168702734148
P( l | n ) = 0.01890634089586969
P( m | n ) = 0.010325770796974986
P( n | n ) = 0.008726003490401396
P( o | n ) = 0.10340314136125654
P( p | n ) = 0.0007271669575334497
P( q | n ) = 0.0005817335660267597
P( r | n ) = 0.0004363001745200698
P( s | n ) = 0.06689936009307737
P( t | n ) = 0.15532286212914484
P( u | n ) = 0.006253635834787667
P( v | n ) = 0.010762070971495055
P( w | n ) = 0.0010180337405468296
P( x | n ) = 0.0008726003490401396
P( y | n ) = 0.02617801047120419
P( z | n ) = 0.00014543339150668993
P( a | o ) = 0.008999898877540703
P( b | o ) = 0.01557285873192436
P( c | o ) = 0.044898371928405297
P( d | o ) = 0.0229547982606937
P( e | o ) = 0.005966225098594398
P( f | o ) = 0.10425725553645465
P( g | o ) = 0.03812316715542522
P( h | o ) = 0.0011123470522803114
P( i | o ) = 0.009606633633329963
P( j | o ) = 0.00010112245929821013
P( k | o ) = 0.002325816563858833
P( l | o ) = 0.06947112953787037
P( m | o ) = 0.0618869450905046
P( n | o ) = 0.18232379411467287
P( o | o ) = 0.013853776923854788
P( p | o ) = 0.03842653453331985
P( q | o ) = 0.00010112245929821013
P( r | o ) = 0.14875113762766712
P( s | o ) = 0.03407826878349682
P( t | o ) = 0.0469208211143695
P( u | o ) = 0.08281929416523409
P( v | o ) = 0.019112144807361717
P( w | o ) = 0.043786024876124985
P( x | o ) = 0.0005056122964910507
P( y | o ) = 0.003741530994033775
P( z | o ) = 0.0003033673778946304
P( a | p ) = 0.07671601615074024
P( b | p ) = 0.00033647375504710633
P( c | p ) = 0.00033647375504710633
P( d | p ) = 0.00033647375504710633
P( e | p ) = 0.1816958277254374
P( f | p ) = 0.0006729475100942127
P( g | p ) = 0.00033647375504710633
P( h | p ) = 0.03633916554508748
P( i | p ) = 0.023216689098250337
P( j | p ) = 0.00033647375504710633
P( k | p ) = 0.00033647375504710633
P( l | p ) = 0.13559892328398385
P( m | p ) = 0.00639300134589502
P( n | p ) = 0.00033647375504710633
P( o | p ) = 0.1746298788694482
P( p | p ) = 0.05047106325706595
P( q | p ) = 0.00033647375504710633
P( r | p ) = 0.1907806191117093
P( s | p ) = 0.03028263795423957
P( t | p ) = 0.031292059219380886
P( u | p ) = 0.0531628532974428
P( v | p ) = 0.00033647375504710633
P( w | p ) = 0.00033647375504710633
P( x | p ) = 0.00033647375504710633
P( y | p ) = 0.004710632570659489
P( z | p ) = 0.00033647375504710633
P( a | q ) = 0.005988023952095809
P( b | q ) = 0.005988023952095809
P( c | q ) = 0.005988023952095809
P( d | q ) = 0.005988023952095809
P( e | q ) = 0.005988023952095809
P( f | q ) = 0.005988023952095809
P( g | q ) = 0.005988023952095809
P( h | q ) = 0.005988023952095809
P( i | q ) = 0.005988023952095809
P( j | q ) = 0.005988023952095809
P( k | q ) = 0.005988023952095809
P( l | q ) = 0.005988023952095809
P( m | q ) = 0.005988023952095809
P( n | q ) = 0.005988023952095809
P( o | q ) = 0.005988023952095809
P( p | q ) = 0.005988023952095809
P( q | q ) = 0.005988023952095809
P( r | q ) = 0.005988023952095809
P( s | q ) = 0.005988023952095809
P( t | q ) = 0.005988023952095809
P( u | q ) = 0.8502994011976048
P( v | q ) = 0.005988023952095809
P( w | q ) = 0.005988023952095809
P( x | q ) = 0.005988023952095809
P( y | q ) = 0.005988023952095809
P( z | q ) = 0.005988023952095809
P( a | r ) = 0.09933126732996249
P( b | r ) = 0.0021203718806067527
P( c | r ) = 0.012722231283640516
P( d | r ) = 0.01875713586690589
P( e | r ) = 0.3174033599739031
P( f | r ) = 0.004893165878323275
P( g | r ) = 0.024465829391616376
P( h | r ) = 0.000978633175664655
P( i | r ) = 0.1123797096721579
P( j | r ) = 0.00016310552927744252
P( k | r ) = 0.014516392105692383
P( l | r ) = 0.012885336812917958
P( m | r ) = 0.023813407274506607
P( n | r ) = 0.024628934920893818
P( o | r ) = 0.13733485565160658
P( p | r ) = 0.005708693524710488
P( q | r ) = 0.00016310552927744252
P( r | r ) = 0.01761539716196379
P( s | r ) = 0.043875387375632034
P( t | r ) = 0.056760724188549994
P( u | r ) = 0.02365030174522916
P( v | r ) = 0.011254281520143532
P( w | r ) = 0.0026096884684390803
P( x | r ) = 0.00016310552927744252
P( y | r ) = 0.03164247267982385
P( z | r ) = 0.00016310552927744252
P( a | s ) = 0.03466858271959763
P( b | s ) = 0.0005388898868331237
P( c | s ) = 0.02604634453026765
P( d | s ) = 0.00017962996227770793
P( e | s ) = 0.18250404167415124
P( f | s ) = 0.012933357283994971
P( g | s ) = 0.00035925992455541585
P( h | s ) = 0.0249685647566014
P( i | s ) = 0.09376684030896354
P( j | s ) = 0.00017962996227770793
P( k | s ) = 0.0052092689060535295
P( l | s ) = 0.005748158792886654
P( m | s ) = 0.023711155020657446
P( n | s ) = 0.003951859170109574
P( o | s ) = 0.12520208370756242
P( p | s ) = 0.021016705586491827
P( q | s ) = 0.00017962996227770793
P( r | s ) = 0.004131489132387282
P( s | s ) = 0.09448536015807436
P( t | s ) = 0.21627447458236035
P( u | s ) = 0.072570504760194
P( v | s ) = 0.00017962996227770793
P( w | s ) = 0.0010777797736662474
P( x | s ) = 0.00017962996227770793
P( y | s ) = 0.049757499550925094
P( z | s ) = 0.00017962996227770793
P( a | t ) = 0.04523408888448976
P( b | t ) = 0.00019796100168266851
P( c | t ) = 0.0031673760269226962
P( d | t ) = 0.00019796100168266851
P( e | t ) = 0.13184202712065723
P( f | t ) = 0.0006928635058893398
P( g | t ) = 0.00019796100168266851
P( h | t ) = 0.362169652578442
P( i | t ) = 0.15876472334950015
P( j | t ) = 9.898050084133426e-05
P( k | t ) = 9.898050084133426e-05
P( l | t ) = 0.009205186578244085
P( m | t ) = 0.0009898050084133426
P( n | t ) = 0.0007918440067306741
P( o | t ) = 0.11709393249529843
P( p | t ) = 0.00019796100168266851
P( q | t ) = 9.898050084133426e-05
P( r | t ) = 0.04909432841730179
P( s | t ) = 0.038008512323072355
P( t | t ) = 0.015539938632089478
P( u | t ) = 0.02187469068593487
P( v | t ) = 0.00019796100168266851
P( w | t ) = 0.003860239532812036
P( x | t ) = 9.898050084133426e-05
P( y | t ) = 0.04018608334158171
P( z | t ) = 9.898050084133426e-05
P( a | u ) = 0.041329011345218804
P( b | u ) = 0.015126958400864398
P( c | u ) = 0.05375472717450027
P( d | u ) = 0.015126958400864398
P( e | u ) = 0.04240950837385197
P( f | u ) = 0.01053484602917342
P( g | u ) = 0.04349000540248514
P( h | u ) = 0.0002701242571582928
P( i | u ) = 0.031874662344678555
P( j | u ) = 0.0002701242571582928
P( k | u ) = 0.0002701242571582928
P( l | u ) = 0.11912479740680713
P( m | u ) = 0.055105348460291734
P( n | u ) = 0.07698541329011345
P( o | u ) = 0.001350621285791464
P( p | u ) = 0.037007023230686116
P( q | u ) = 0.0002701242571582928
P( r | u ) = 0.1272285251215559
P( s | u ) = 0.1720691518098325
P( t | u ) = 0.15343057806591032
P( u | u ) = 0.0002701242571582928
P( v | u ) = 0.0002701242571582928
P( w | u ) = 0.0002701242571582928
P( x | u ) = 0.0010804970286331713
P( y | u ) = 0.0008103727714748784
P( z | u ) = 0.0002701242571582928
P( a | v ) = 0.0787011557512383
P( b | v ) = 0.000550357732526142
P( c | v ) = 0.000550357732526142
P( d | v ) = 0.000550357732526142
P( e | v ) = 0.6020913593835994
P( f | v ) = 0.000550357732526142
P( g | v ) = 0.000550357732526142
P( h | v ) = 0.000550357732526142
P( i | v ) = 0.2212438084755091
P( j | v ) = 0.000550357732526142
P( k | v ) = 0.000550357732526142
P( l | v ) = 0.000550357732526142
P( m | v ) = 0.000550357732526142
P( n | v ) = 0.000550357732526142
P( o | v ) = 0.08200330214639516
P( p | v ) = 0.000550357732526142
P( q | v ) = 0.000550357732526142
P( r | v ) = 0.000550357732526142
P( s | v ) = 0.00275178866263071
P( t | v ) = 0.000550357732526142
P( u | v ) = 0.001100715465052284
P( v | v ) = 0.000550357732526142
P( w | v ) = 0.000550357732526142
P( x | v ) = 0.000550357732526142
P( y | v ) = 0.001651073197578426
P( z | v ) = 0.000550357732526142
P( a | w ) = 0.10316649642492338
P( b | w ) = 0.0005107252298263534
P( c | w ) = 0.0005107252298263534
P( d | w ) = 0.0056179775280898875
P( e | w ) = 0.24514811031664965
P( f | w ) = 0.0005107252298263534
P( g | w ) = 0.0005107252298263534
P( h | w ) = 0.18181818181818182
P( i | w ) = 0.24055158324821246
P( j | w ) = 0.0005107252298263534
P( k | w ) = 0.0005107252298263534
P( l | w ) = 0.0020429009193054137
P( m | w ) = 0.0005107252298263534
P( n | w ) = 0.04800817160367722
P( o | w ) = 0.14862104187946884
P( p | w ) = 0.0005107252298263534
P( q | w ) = 0.0005107252298263534
P( r | w ) = 0.0056179775280898875
P( s | w ) = 0.007660878447395302
P( t | w ) = 0.0040858018386108275
P( u | w ) = 0.0005107252298263534
P( v | w ) = 0.0005107252298263534
P( w | w ) = 0.0005107252298263534
P( x | w ) = 0.0005107252298263534
P( y | w ) = 0.0005107252298263534
P( z | w ) = 0.0005107252298263534
P( a | x ) = 0.20077220077220076
P( b | x ) = 0.003861003861003861
P( c | x ) = 0.07335907335907337
P( d | x ) = 0.003861003861003861
P( e | x ) = 0.10038610038610038
P( f | x ) = 0.003861003861003861
P( g | x ) = 0.003861003861003861
P( h | x ) = 0.011583011583011582
P( i | x ) = 0.12355212355212356
P( j | x ) = 0.003861003861003861
P( k | x ) = 0.003861003861003861
P( l | x ) = 0.003861003861003861
P( m | x ) = 0.003861003861003861
P( n | x ) = 0.003861003861003861
P( o | x ) = 0.003861003861003861
P( p | x ) = 0.18532818532818532
P( q | x ) = 0.003861003861003861
P( r | x ) = 0.003861003861003861
P( s | x ) = 0.003861003861003861
P( t | x ) = 0.20463320463320464
P( u | x ) = 0.03088803088803089
P( v | x ) = 0.003861003861003861
P( w | x ) = 0.003861003861003861
P( x | x ) = 0.003861003861003861
P( y | x ) = 0.003861003861003861
P( z | x ) = 0.003861003861003861
P( a | y ) = 0.018211920529801324
P( b | y ) = 0.02152317880794702
P( c | y ) = 0.09602649006622517
P( d | y ) = 0.0016556291390728477
P( e | y ) = 0.08278145695364239
P( f | y ) = 0.0016556291390728477
P( g | y ) = 0.0033112582781456954
P( h | y ) = 0.0016556291390728477
P( i | y ) = 0.039735099337748346
P( j | y ) = 0.0016556291390728477
P( k | y ) = 0.0016556291390728477
P( l | y ) = 0.016556291390728478
P( m | y ) = 0.024834437086092714
P( n | y ) = 0.004966887417218543
P( o | y ) = 0.13410596026490065
P( p | y ) = 0.057947019867549666
P( q | y ) = 0.0016556291390728477
P( r | y ) = 0.0016556291390728477
P( s | y ) = 0.4519867549668874
P( t | y ) = 0.02152317880794702
P( u | y ) = 0.0016556291390728477
P( v | y ) = 0.0016556291390728477
P( w | y ) = 0.006622516556291391
P( x | y ) = 0.0016556291390728477
P( y | y ) = 0.0016556291390728477
P( z | y ) = 0.0016556291390728477
P( a | z ) = 0.3776223776223776
P( b | z ) = 0.006993006993006993
P( c | z ) = 0.006993006993006993
P( d | z ) = 0.006993006993006993
P( e | z ) = 0.3916083916083916
P( f | z ) = 0.006993006993006993
P( g | z ) = 0.006993006993006993
P( h | z ) = 0.006993006993006993
P( i | z ) = 0.055944055944055944
P( j | z ) = 0.006993006993006993
P( k | z ) = 0.006993006993006993
P( l | z ) = 0.006993006993006993
P( m | z ) = 0.006993006993006993
P( n | z ) = 0.006993006993006993
P( o | z ) = 0.013986013986013986
P( p | z ) = 0.006993006993006993
P( q | z ) = 0.006993006993006993
P( r | z ) = 0.006993006993006993
P( s | z ) = 0.006993006993006993
P( t | z ) = 0.006993006993006993
P( u | z ) = 0.006993006993006993
P( v | z ) = 0.006993006993006993
P( w | z ) = 0.006993006993006993
P( x | z ) = 0.006993006993006993
P( y | z ) = 0.013986013986013986
P( z | z ) = 0.006993006993006993

For Marginal/Initial Probabilities:
P( X )
P( a ) = 0.07383633605583495
P( b ) = 0.014556541102799967
P( c ) = 0.033716177338723535
P( d ) = 0.03187792830828781
P( e ) = 0.12628621387952743
P( f ) = 0.023202289591475307
P( g ) = 0.01905502043744349
P( h ) = 0.046830514933905235
P( i ) = 0.07620513663570537
P( j ) = 0.0007472557034291564
P( k ) = 0.004184631939203276
P( l ) = 0.04457380270954918
P( m ) = 0.026482742129529304
P( n ) = 0.06841873220597357
P( o ) = 0.08373747412627126
P( p ) = 0.02274646361238352
P( q ) = 0.0010760482129379852
P( r ) = 0.05777033843210808
P( s ) = 0.06779850997212736
P( t ) = 0.09665005268152708
P( u ) = 0.02775307682535887
P( v ) = 0.013398294762484775
P( w ) = 0.015550391188360746
P( x ) = 0.0019503373859500982
P( y ) = 0.020713928099056218
P( z ) = 0.0008817617300464046
